Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage
Hp 250 G10,3,Shared,FreeDos,16,Intel Core i5,15.6,5200,Black,hp,15999,512
Casper Excalibur G870,5,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,39999,1024
Msi Katana A15,3,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 9,15.6,5600,Black,msi,74599,1024
Asus Vivobook 15,1.5,Shared,FreeDos,8,Intel Core i5,15.6,3200,Blue,asus,23099,256
Lenovo Notebook,1.5,AMD Radeon 610M,FreeDos,16,AMD Ryzen 5,15.6,5500,Black,lenovo,15295,512
Lenovo Ideapad 1,1.5,Onboard,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,15999,512
Casper Nirvana X600,1,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,19499,500
Lenovo Loq 15,3,Intel Arc Graphics,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,23999,512
Acer Aspire Lite Al16,1.5,Shared,FreeDos,8,Intel Core i5,16,4800,Metallic Grey,acer,14499,512
Hp Victus 15,3,AMD Radeon RX6550M,FreeDos,16,AMD Ryzen 5,15.6,3200,Silver,hp,24999,512
Lenovo Loq,3,Nvidia GeForce RTX 4050,FreeDos,24,Intel Core i5,15.6,4800,Grey,lenovo,36999,512
Asus Rog Strix G16,4,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16,4800,Grey,asus,69266,512
Monster Abra A5,3,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,3200,Black,monster,40499,1024
Acer Nitro 5,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,4800,Black,acer,34599,1024
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i5,15.6,3200,Blue,asus,15999,512
Casper Excalibur G770,3,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,32599,1024
Hp 255 G9,1.5,AMD Radeon R5,FreeDos,8,AMD Ryzen 5,15.6,3200,Silver,hp,12999,512
Casper Excalibur G870,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,3200,Grey,casper,38199,1024
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,18999,512
Casper Nirvana C550,1.5,Shared,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,casper,15799,512
Msi Thin 15,1.5,Nvidia GeForce RTX 2050,FreeDos,8,Intel Core i5,15.6,3200,Dark Grey,msi,24799,512
Hp Victus Gaming 15,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Black,hp,39999,512
Casper Nirvana X600,1,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,casper,16999,500
Acer Aspire 3,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Silver,acer,24000,512
Casper Nirvana X600,1.5,Shared,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,23299,1024
Hp Victus Gaming 15 Fa1033Nt,3,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Blue,hp,34999,512
Lenovo Ideapad Slim 3 15Iah8,3,Onboard,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,15311,512
Asus Tuf Gaming F15 Fx507Zc4,3,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Grey,asus,30500,512
Casper Nirvana C550 1235,1.5,Shared,Windows 11 Home,8,Intel Core i5,15.6,3200,Dark Grey,casper,16999,512
Msi Cyborg 15 A13Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,35099,512
Msi Modern 15 B12Mo,1.5,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,msi,15399,512
Acer Aspire Lite Al14 31P,1,Shared,Windows 11 Home,8,Intel Core i3,14,4800,Silver,acer,11519,512
Msi Cyborg 15 A13Vf,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,42999,512
Msi Thin 15 B12Uc,1.5,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,msi,29399,512
Dell Gaming G15 5530,3,Nvidia GeForce RTX 4060,Ubuntu,16,Intel Core i7,15.6,4800,Black,dell,50999,1024
Msi Katana 15 B13Vgk,1.5,Nvidia GeForce RTX 4070,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,58999,1024
Hp 15 Fc0059Nt,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,hp,17499,512
Lenovo Loq,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,38999,512
Hp Victus 16 S1019Nt,3,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,16.1,5600,Blue,hp,51199,512
Msi Katana 17 B12Vfk,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,17.3,4800,Black,msi,47670,512
Msi Thin 15 B12Uc,3,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Grey,msi,33242,512
Acer Nitro V15 Anv15,3,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,5600,Black,acer,39499,512
Lenovo Ideapad Slim 3 16Irh10,1,Intel UHD Graphics,FreeDos,16,Intel Core i5,16,4800,Grey,lenovo,19799,512
Lenovo Ideapad Slim 3,1,Intel UHD Graphics,Windows 11 Home,4,INTEL N100,15.6,4800,Grey,lenovo,8999,128
Lenovo Loq,3,Nvidia GeForce RTX 4050,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,37999,512
Lenovo Loq 15Arp9,3,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,"Grey, Black",lenovo,28999,512
Monster Tulpar T7 V20,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,3200,Black,monster,57899,1024
Msi Katana 17 B13Vfk,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,17.3,5200,Black,msi,56999,1024
Hp Victus 16 S1011Nt,1.5,Nvidia GeForce RTX 4060,FreeDos,32,AMD Ryzen 7,16.1,5600,Blue,hp,49599,1024
Acer Nitro 5 An515,3,Nvidia GeForce RTX 4060,FreeDos,8,Intel Core i7,15.6,4800,Black,acer,40963,1024
Asus Tuf Gaming A15,3.5,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,Grey,asus,49616,512
Hp Victus 15 Fa1085Nt,3.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Silver,hp,42570,1024
Hp Victus 16 R1041Nt,3,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.1,5600,Blue,hp,51499,1024
Lenovo Loq 15Iax9 ,1,Nvidia GeForce RTX 3050,FreeDos,12,Intel Core i5,15.6,4800,Black,lenovo,30299,1024
Lenovo Loq,1,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,39999,512
Hp Omen 17 Db0015Nt,3,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,17.3,5600,Black,hp,65399,1024
Msi Katana 17 B13Vfk,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,5200,Black,msi,59999,1024
Msi Crosshair 17 Hx,3,Nvidia GeForce RTX 4070,Windows 11 Home,32,Intel Core i7,17,5600,Dark Grey,msi,109999,1024
Dell Vostro 3530,1.5,Intel Iris Xe Graphics,Linux,16,Intel Core i5,15.6,2666,Black,dell,18756,512
Asus Tuf Gaming A15 Fa507Nvr,3,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,"Black, Grey",asus,45999,512
Lenovo Loq 15Irx9,3,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,4800,Grey,lenovo,57999,1024
