Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage,CPU Rank,Graphic Card Rank,RAM Rank,Weight Rank,Color Rank,Brand Rank,Operating System Rank,Memory Speed Rank,Screen Size Rank,Storage Rank
Hp 250 G10,3.0,Shared,FreeDos,16,Intel Core i5,15.6,5200,Black,hp,15999,512,2,3,4,5,2,1,3,2,3,1
Casper Excalibur G870,5.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,39999,1024,5,2,4,3,5,4,3,3,3,3
Msi Katana A15,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 9,15.6,5600,Black,msi,74599,1024,4,3,2,2,5,1,3,3,1,3
Asus Vivobook 15,1.5,Shared,FreeDos,8,Intel Core i5,15.6,3200,Blue,asus,23099,256,3,4,4,3,5,3,1,4,2,3
Lenovo Notebook,1.5,AMD Radeon 610M,FreeDos,16,AMD Ryzen 5,15.6,5500,Black,lenovo,15295,512,4,2,2,3,4,1,2,4,2,3
Lenovo Ideapad 1,1.5,Onboard,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,15999,512,3,4,4,3,4,2,3,3,3,2
Casper Nirvana X600,1.0,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,19499,500,2,3,3,4,2,3,4,4,2,2
Lenovo Loq 15,3.0,Intel Arc Graphics,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,23999,512,3,4,4,3,5,3,3,4,2,2
Acer Aspire Lite Al16,1.5,Shared,FreeDos,8,Intel Core i5,16.0,4800,Metallic Grey,acer,14499,512,4,3,3,3,4,3,5,3,2,4
Hp Victus 15,3.0,AMD Radeon RX6550M,FreeDos,16,AMD Ryzen 5,15.6,3200,Silver,hp,24999,512,2,3,4,2,4,3,4,3,3,3
Lenovo Loq,3.0,Nvidia GeForce RTX 4050,FreeDos,24,Intel Core i5,15.6,4800,Grey,lenovo,36999,512,3,4,4,3,3,1,2,3,4,3
Asus Rog Strix G16,4.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.0,4800,Grey,asus,69266,512,3,4,3,3,3,4,4,3,4,1
Monster Abra A5,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,3200,Black,monster,40499,1024,2,3,2,4,3,3,3,4,3,3
Acer Nitro 5,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,4800,Black,acer,34599,1024,3,3,4,3,3,2,4,5,2,3
Asus Vivobook 15,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i5,15.6,3200,Blue,asus,15999,512,3,3,2,3,3,4,1,3,3,3
Casper Excalibur G770,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,32599,1024,4,3,3,3,1,2,3,1,2,2
Hp 255 G9,1.5,AMD Radeon R5,FreeDos,8,AMD Ryzen 5,15.6,3200,Silver,hp,12999,512,3,2,3,3,2,3,4,3,4,3
Casper Excalibur G870,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,3200,Grey,casper,38199,1024,2,3,2,4,3,2,4,4,3,2
Lenovo Ideapad Slim 3,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,18999,512,3,1,2,3,5,2,3,4,4,4
Casper Nirvana C550,1.5,Shared,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,casper,15799,512,2,2,2,3,4,1,4,3,2,3
Msi Thin 15,1.5,Nvidia GeForce RTX 2050,FreeDos,8,Intel Core i5,15.6,3200,Dark Grey,msi,24799,512,4,4,3,3,1,2,3,4,2,4
Hp Victus Gaming 15,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Black,hp,39999,512,2,3,3,1,3,3,3,3,4,2
Casper Nirvana X600,1.0,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,casper,16999,500,2,1,2,2,1,3,3,4,5,3
Acer Aspire 3,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Silver,acer,24000,512,2,2,1,3,3,3,3,4,3,2
Casper Nirvana X600,1.5,Shared,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,23299,1024,4,3,3,2,4,3,2,4,4,3
Hp Victus Gaming 15 Fa1033Nt,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Blue,hp,34999,512,3,2,3,3,2,2,2,3,3,2
Lenovo Ideapad Slim 3 15Iah8,3.0,Onboard,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,15311,512,2,4,2,4,4,3,4,4,5,3
Asus Tuf Gaming F15 Fx507Zc4,3.0,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Grey,asus,30500,512,2,3,3,3,4,3,3,2,2,2
Casper Nirvana C550 1235,1.5,Shared,Windows 11 Home,8,Intel Core i5,15.6,3200,Dark Grey,casper,16999,512,4,4,3,3,2,3,4,3,3,2
Msi Cyborg 15 A13Ve,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,35099,512,4,4,3,4,4,2,4,3,2,5
Msi Modern 15 B12Mo,1.5,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,msi,15399,512,3,3,3,4,4,4,3,4,4,3
Acer Aspire Lite Al14 31P,1.0,Shared,Windows 11 Home,8,Intel Core i3,14.0,4800,Silver,acer,11519,512,4,5,3,3,2,2,2,4,3,2
Msi Cyborg 15 A13Vf,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,42999,512,3,4,2,2,4,3,4,4,3,4
Msi Thin 15 B12Uc,1.5,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,msi,29399,512,1,2,3,2,3,3,4,3,2,3
Dell Gaming G15 5530,3.0,Nvidia GeForce RTX 4060,Ubuntu,16,Intel Core i7,15.6,4800,Black,dell,50999,1024,2,2,4,2,2,3,4,4,2,3
Msi Katana 15 B13Vgk,1.5,Nvidia GeForce RTX 4070,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,58999,1024,3,3,4,3,3,3,2,3,2,4
