Laptop Name,Weight,Graphic Card,Operating System,RAM,CPU,Screen Size,Memory Speed,Color,Brand,Price,Storage,CPU Rank,Graphic Card Rank,RAM Rank,Storage Rank,Memory Speed Rank,Screen Size Rank,Weight Rank,Brand Rank,Operating System Rank,Color Rank
HP 250 G10,3.0,Shared,FreeDos,16,Intel Core i5,15.6,5200,Black,hp,15999,512,4,5,5,3,4,5,4,5,5,1
CASPER EXCALIBUR G870 1265 DFB0X B,5.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,39999,1024,4,5,1,5,1,3,2,3,5,5
MSI KATANA A15 AI B8VG 434XTR,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 9,15.6,5600,Black,msi,74599,1024,1,1,5,5,3,1,5,4,5,5
ASUS VIVOBOOK 15 X1502ZA EJ1644,1.5,Shared,FreeDos,8,Intel Core i5,15.6,3200,Blue,asus,23099,256,4,3,4,5,1,1,4,3,1,1
LENOVO NB,1.5,AMD Radeon 610M,FreeDos,16,AMD Ryzen 5,15.6,5500,Black,lenovo,15295,512,2,5,4,3,4,5,3,5,5,5
LENOVO IDEAPAD 1,1.5,Onboard,FreeDos,16,AMD Ryzen 7,15.6,3200,Grey,lenovo,15999,512,4,5,1,5,5,4,5,3,2,1
CASPER NIRVANA X600 1342 BV00X G F,1.0,Shared,FreeDos,16,Intel Core i5,15.6,3200,Grey,casper,19499,500,5,4,5,1,5,2,2,2,5,1
LENOVO LOQ 15IAX9I,3.0,Intel Arc Graphics,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,23999,512,5,5,2,5,2,1,5,5,2,1
ACER ASPIRE LITE AL16 51P 580H,1.5,Shared,FreeDos,8,Intel Core i5,16.0,4800,Metallic Grey,acer,14499,512,4,2,5,5,5,1,5,5,4,4
HP VICTUS 15 FB2028NT,3.0,AMD Radeon RX6550M,FreeDos,16,AMD Ryzen 5,15.6,3200,Silver,hp,24999,512,5,2,5,3,1,5,4,5,3,1
LENOVO LOQ,3.0,Nvidia GeForce RTX 4050,FreeDos,24,Intel Core i5,15.6,4800,Grey,lenovo,36999,512,4,3,2,5,1,1,2,3,1,4
ASUS ROG STRIX G16 G614JV N3157,4.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.0,4800,Grey,asus,69266,512,4,2,1,2,3,5,4,5,5,4
MONSTER ABRA A5 V20 4 2,3.0,Nvidia GeForce RTX 4050,FreeDos,32,Intel Core i5,15.6,3200,Black,monster,40499,1024,5,4,1,2,4,5,2,1,3,1
ACER NITRO 5 AN515 58 524A,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,4800,Black,acer,34599,1024,5,4,5,5,2,2,5,5,2,3
ASUS VIVOBOOK 15 X1504VA NJ123W,1.5,Intel UHD Graphics,Windows 11 Home,8,Intel Core i5,15.6,3200,Blue,asus,15999,512,4,1,3,5,3,1,5,5,3,4
CASPER EXCALIBUR G770 1245 DFJ0X B,3.0,Nvidia GeForce RTX 3050,FreeDos,32,Intel Core i5,15.6,3200,Black,casper,32599,1024,2,1,1,5,4,2,5,1,2,1
HP 255 G9,1.5,AMD Radeon R5,FreeDos,8,AMD Ryzen 5,15.6,3200,Silver,hp,12999,512,2,5,3,5,5,4,5,5,5,1
CASPER EXCALIBUR G870 1265 BFA0X B,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,3200,Grey,casper,38199,1024,1,2,4,5,3,1,1,1,5,1
LENOVO IDEAPAD SLIM 3,1.5,Intel UHD Graphics,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,18999,512,5,2,5,5,1,3,5,5,5,2
CASPER NIRVANA C550 1235 BV00X G F,1.5,Shared,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,casper,15799,512,5,1,2,5,1,1,5,4,5,2
MSI THIN 15 B12UCX 2634XTR,1.5,Nvidia GeForce RTX 2050,FreeDos,8,Intel Core i5,15.6,3200,Dark Grey,msi,24799,512,5,2,5,1,1,1,4,4,3,5
HP VICTUS GAMING 15,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,3200,Black,hp,39999,512,5,5,5,5,5,5,4,2,5,5
CASPER NIRVANA X600 7430 BV00X G F,1.0,AMD Radeon Graphics,FreeDos,16,AMD Ryzen 5,15.6,3200,Grey,casper,16999,500,5,3,2,1,1,3,5,2,5,4
ACER ASPIRE 3 A315 59 79U8,1.5,Intel Iris Xe Graphics,FreeDos,16,Intel Core i7,15.6,3200,Silver,acer,24000,512,3,4,2,1,4,5,5,5,5,5
CASPER NIRVANA X600 1270 DF00X G F,1.5,Shared,FreeDos,32,Intel Core i7,15.6,3200,Grey,casper,23299,1024,1,3,3,2,5,5,5,1,5,5
HP VICTUS GAMING 15 FA1033NT,3.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,3200,Blue,hp,34999,512,5,1,2,3,1,2,1,5,4,1
LENOVO IDEAPAD SLIM 3 15IAH8,3.0,Onboard,FreeDos,8,Intel Core i5,15.6,4800,Grey,lenovo,15311,512,4,3,5,3,3,2,1,4,3,1
ASUS TUF GAMING F15 FX507ZC4 HN081,3.0,Nvidia GeForce RTX 3050,FreeDos,8,Intel Core i5,15.6,3200,Grey,asus,30500,512,3,5,5,5,3,1,5,3,4,5
CASPER NIRVANA C550 1235 8V00T G F,1.5,Shared,Windows 11 Home,8,Intel Core i5,15.6,3200,Dark Grey,casper,16999,512,5,5,5,2,1,2,5,4,3,1
MSI CYBORG 15 A13VE 1252XTR,1.5,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i5,15.6,5200,Black,msi,35099,512,3,5,2,5,1,1,5,5,4,4
MSI MODERN 15 B12MO 624XTR,1.5,Intel Iris Xe Graphics,FreeDos,8,Intel Core i5,15.6,3200,Black,msi,15399,512,4,5,3,5,1,1,4,5,1,5
ACER ASPIRE LITE AL14 31P 34RN,1.0,Shared,Windows 11 Home,8,Intel Core i3,14.0,4800,Silver,acer,11519,512,3,5,4,5,5,4,3,3,2,1
MSI CYBORG 15 A13VF 892XTR,1.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,42999,512,3,5,2,3,2,1,5,1,5,5
MSI THIN 15 B12UC 1478XTR,1.5,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i5,15.6,3200,Dark Grey,msi,29399,512,3,5,2,2,5,5,2,1,1,4
DELL GAMING G15 5530 G155530014U,3.0,Nvidia GeForce RTX 4060,Ubuntu,16,Intel Core i7,15.6,4800,Black,dell,50999,1024,5,4,1,5,1,5,2,5,5,4
MSI KATANA 15 B13VGK 1874XTR,1.5,Nvidia GeForce RTX 4070,FreeDos,16,Intel Core i7,15.6,5200,Black,msi,58999,1024,4,3,5,1,5,1,5,3,4,5
HP 15 FC0059NT,1.5,Shared,FreeDos,16,AMD Ryzen 7,15.6,3200,Black,hp,17499,512,1,4,2,5,3,5,4,5,1,1
LENOVO LOQ,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,15.6,4800,Grey,lenovo,38999,512,4,1,2,3,1,4,2,5,5,2
HP VICTUS 16 S1019NT A05N0EA 8GB RTX4060,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,16.1,5600,Blue,hp,51199,512,1,1,2,1,2,5,4,5,5,2
MSI KATANA 17 B12VFK 1031XTR,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i5,17.3,4800,Black,msi,47670,512,5,2,5,2,5,5,4,1,2,5
MSI THIN 15 B12UC 1479XTR,3.0,Nvidia GeForce RTX 3050,FreeDos,16,Intel Core i7,15.6,3200,Grey,msi,33242,512,1,2,2,5,5,2,4,1,4,2
ACER NITRO V15 ANV15 41,3.0,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,5600,Black,acer,39499,512,1,1,4,1,1,1,1,2,1,5
LENOVO IDEAPAD SLIM 3 16IRH10,1.0,Intel UHD Graphics,FreeDos,16,Intel Core i5,16.0,4800,Grey,lenovo,19799,512,4,5,2,5,5,5,5,5,1,2
LENOVO IDEAPAD SLIM 3,1.0,Intel UHD Graphics,Windows 11 Home,4,INTEL N100,15.6,4800,Grey,lenovo,8999,128,4,1,2,1,2,5,2,3,5,1
LENOVO LOQ,3.0,Nvidia GeForce RTX 4050,FreeDos,24,AMD Ryzen 7,15.6,4800,Grey,lenovo,37999,512,4,1,1,3,3,3,2,4,5,1
LENOVO LOQ 15ARP9,3.0,Nvidia GeForce RTX 3050,FreeDos,16,AMD Ryzen 5,15.6,4800,"Grey, Black",lenovo,28999,512,5,1,1,1,1,5,5,4,4,4
MONSTER TULPAR T7 V20 6 2,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,3200,Black,monster,57899,1024,3,2,1,5,5,2,1,1,3,5
MSI KATANA 17 B13VFK 1037XTR,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,17.3,5200,Black,msi,56999,1024,1,1,4,5,5,1,5,3,4,4
HP VICTUS 16 S1011NT 9Z791EA,1.5,Nvidia GeForce RTX 4060,FreeDos,32,AMD Ryzen 7,16.1,5600,Blue,hp,49599,1024,4,4,3,5,4,5,5,5,1,5
ACER NITRO 5 AN515,3.0,Nvidia GeForce RTX 4060,FreeDos,8,Intel Core i7,15.6,4800,Black,acer,40963,1024,1,3,3,2,2,1,4,1,2,1
ASUS TUF GAMING A15 FA507NVR LP147,3.5,Nvidia GeForce RTX 4060,FreeDos,16,AMD Ryzen 7,15.6,4800,Grey,asus,49616,512,5,1,2,2,1,2,1,3,5,4
HP VICTUS 15 FA1085NT,3.5,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,15.6,3200,Silver,hp,42570,1024,1,5,2,1,4,4,3,5,1,5
HP VICTUS 16 R1041NT 9J243EA,3.0,Nvidia GeForce RTX 4060,FreeDos,16,Intel Core i7,16.1,5600,Blue,hp,51499,1024,3,2,5,2,5,1,2,3,1,1
LENOVO LOQ 15IAX9 83GS00PCTR,1.0,Nvidia GeForce RTX 3050,FreeDos,12,Intel Core i5,15.6,4800,Black,lenovo,30299,1024,4,3,5,3,1,3,2,4,1,1
LENOVO LOQ,1.0,Nvidia GeForce RTX 4050,FreeDos,16,Intel Core i7,15.6,4800,Grey,lenovo,39999,512,1,5,5,5,5,4,5,5,2,3
HP OMEN 17 DB0015NT A44QLEA,3.0,Nvidia GeForce RTX 4070,FreeDos,32,AMD Ryzen 7,17.3,5600,Black,hp,65399,1024,1,5,5,3,3,4,1,2,4,4
MSI KATANA 17 B13VFK 872XTR,3.0,Nvidia GeForce RTX 4060,FreeDos,32,Intel Core i7,17.3,5200,Black,msi,59999,1024,4,1,3,1,1,4,1,1,1,1
